actor,public_commits,total_commits,is_org,n_repos_2025
tamerakdeniz,50,50,False,4
scottadkin,141,242,False,2
avanshh99,-27,0,False,2
zourisheng,0,0,False,2
jiteshy,68,68,False,2
JohnStrunk,94,128,False,3
maxsteeel,-276,70,False,2
aymanhab,13,13,True,2
hnarendra,0,0,False,2
7he9ight0wl,0,0,False,2
ByteAtATime,-554,30,True,2
KlavenessMedia,0,0,False,2
Serg-2024,0,0,False,5
subiksha-0409,11,11,True,3
Monesha-Ra,0,0,True,2
MalcolnLMR,-174,14,False,2
george-dinu-ro,0,0,True,2
sezero,117,117,False,9
leegunwoooo,78,80,True,2
DavidEstevezzz,16,16,False,2
jamesliu96,-47,0,False,2
mariamarM,80,80,False,3
JokelaR,18,18,True,2
f-hafner,14,14,True,2
fluxth,74,82,False,3
idk-who,168,168,False,2
KunalSood-19,19,19,True,2
asadali145,133,146,False,3
KazKozDev,246,246,False,2
hazelnuttty,-44,2,False,3
jaumeortola,397,397,True,3
digimaun,-58,120,False,2
jeyounson,120,120,False,4
AJParkerX,5,5,False,2
mrproliu,51,51,True,2
yrambe,0,0,False,3
karampok,0,0,False,2
costa-rica,864,864,True,8
5hE1D0nK,0,0,False,2
roberthernandezmarketing,3,3,False,2
Gilad-Weinberger,1,1,True,2
oCrazyoff,-30,19,False,4
theunraveler,5,5,False,2
UnravelSports,24,24,False,3
RoberthVieira,35,35,False,3
EmanuelTFF,22,22,False,2
roxi3906,-223,16,True,2
Arom1a,74,89,False,3
20jasper,141,141,False,3
JayPing23,0,0,False,2
Foqsz,243,255,False,2
jacksonkasi1,-578,883,False,2
althonos,634,634,False,3
H3llKa1ser,547,547,False,2
sergiodxa,-557,29,True,3
orewagaurav,34,39,False,4
dftesports,0,0,False,2
matthew-hre,292,382,True,4
hopansh,-183,2,False,2
xiaoxiao921,-73,20,True,2
crazy-max,1417,1623,False,6
indraai,594,594,False,5
jungkimin2,238,238,False,2
AbdullahAlsawy,0,0,False,2
FelixSoderstrom,2,8,True,2
Arush1901,0,0,False,2
Nikoivan,3,3,False,2
MarcoBllfr,40,40,False,2
SamuelBorn,10,10,False,2
zihoo318,0,0,False,3
LucasPickering,312,312,False,2
sp5wwp,125,125,True,2
charlyoleg2,0,0,False,2
SURAlSA,-182,0,False,3
Mista-Log,-3,112,False,2
jbpratt,223,320,False,2
palinopr,0,0,False,2
gorillaworkout,99,99,False,2
JonathanBout,-40,0,False,2
guerreroeileen,9,9,False,2
Abhi-coder-crypto,5,5,True,2
matejpopovski,992,992,False,2
scottaohara,1,22,False,2
cyber-pc,51,51,False,2
davidwengier,1082,1118,False,4
euijooning,54,54,False,4
Antonytm,-810,77,False,2
SharpSunil,59,59,False,2
B0arrr,0,0,False,2
Sana-Farasat,38,38,True,2
HarshYadav152,-525,521,False,2
jiajunlee19,3,51,False,3
bosh,3,62,False,3
SeongHo5356,-422,90,False,2
FanLu1994,-20,119,False,3
nhannn87dn,75,76,False,2
Musavirkhaliq,-2,2,False,2
Vayras,-12,79,False,2
Harry-0318,50,62,True,2
IshanHansaka,-423,58,True,3
hedemil,-202,40,False,3
idkwhttsay,-292,68,True,2
M-Nowfal,156,156,False,2
alexkok,-190,1,False,2
dphiggs01,0,0,False,2
johnvanbreda,355,355,True,2
ChangyiYang,-135,15,False,2
itsakshatsinghh,54,54,False,2
Gobindapaull,57,57,False,3
giraffacarp,-500,1,False,3
not-a-feature,-193,13,True,2
clockback,42,42,False,2
OpenSignage,0,0,False,2
y14e,153,153,False,4
coloz,296,409,False,3
AxelUser,-56,41,False,2
Mrwicks00,313,372,True,2
Johann-George,41,41,True,2
BecCowley,2,2,False,2
KKalem,66,66,True,3
angelozerr,84,84,True,2
Antony-Lester,-108,3,True,4
davidystephenson,-68,125,False,3
akrbc9,0,0,False,3
ifanFanany,0,0,False,2
karan-suthar03,150,173,True,2
ZhangAIPI,2,4,False,2
Ahmed0173,0,0,False,2
AdityaPatadiya,17,24,False,2
anshikasrivastava17,1,1,False,2
DudeSquaredEdud,3,3,False,3
naveenperiyasamy30,0,0,False,2
marcel-veselka,-749,117,True,2
Aragorn7372,262,262,False,3
MeatBxll,-71,0,False,2
Ignazio-Emanuele-Picciche,6,6,True,2
heliumVj,0,0,False,2
just-a-guy150,19,19,True,2
mushab879,0,0,False,4
Mr-Bossman,11,11,True,2
webtesting22,0,0,False,6
adalisk-emikhaylov,138,148,False,2
KvngJamesII,156,156,False,2
AndrewThien,-223,100,True,2
KaloinaRandria,289,289,False,3
MrMirror21,281,281,True,3
ryanalbee88,0,0,False,2
eonferraz,-121,0,True,3
koushikikundu9,22,22,False,4
Mig-uel,131,131,False,2
harren-collections,1,1,True,8
shinleehyeon,-29,6,False,4
Sakshi-Greycube,29,29,True,2
treddy08,292,292,False,4
JesseCoulter,0,0,False,2
tbirch5,0,0,False,2
egondo,35,35,False,3
MiguelLopezRamirez,486,486,False,2
cutymurphy,0,0,False,2
Sini921,167,167,False,2
yagmurauslu,0,0,False,2
orgniani,0,0,False,2
OpenGOALBot,10,10,False,2
leo-gall,-87,0,False,2
Lightofc,0,0,False,3
alonso4678,0,0,False,2
bnquon,-32,20,False,2
marcaaron-frigillana,0,0,True,2
CatMan6112,24,24,False,2
dappsar,-48,105,False,2
ppenna,955,994,False,2
ryanninodizon,0,0,False,3
ghwnode02,0,0,False,5
emaad-brainwonders,0,0,True,2
fwilliams,11,11,False,2
MarcoPWx,0,0,False,4
dillonkearns,1038,1038,False,2
Ymgc19,5,5,False,2
Muhtadi1Laskar,-24,231,False,2
raritto-1,1,1,False,3
dfoulks1,27,69,True,2
Nordine000,7,7,False,2
slohitha15,0,0,False,3
heemankv,-122,97,True,3
David2025-KH,42,42,True,3
johnhwhite,167,319,False,3
Graham-ki,3,3,False,2
clenio77,129,129,False,4
Leonardo2745,4,4,False,3
integrationsQualityTest,0,0,False,28
usualAlex,0,0,False,2
diamondap,131,131,False,2
wkillerud,89,89,False,2
pmxfa,-260,2,False,2
raptor7197,-141,194,False,3
eliascop,4,4,False,2
jeet-5870,15,15,False,2
jcbhmr,154,154,False,5
pbastia,117,117,False,2
anjanea,4,4,False,2
SheepSheepChen,0,0,False,3
starknetdev,405,405,True,2
burakemretetik,13,13,False,3
fmz,17,30,False,2
garydgregory,1902,1903,True,3
ernetas,79,84,False,3
Islamhassana3,4,4,False,2
seohyun-lee,34,35,True,3
Salihtrz,14,14,False,4
SamErde,89,244,False,4
canunz,0,0,False,2
try2hack,0,0,False,2
Ramlah7,-1,4,False,2
kenchan20141,2080,2080,False,4
DaniloAlves1902,-473,79,False,3
NikolaySlavov-96,-221,0,True,5
AnushkJain2201,2,2,False,2
WeiKuoAn,1,1,False,3
phuc0908,-45,15,False,2
hose0504,19,19,False,2
XandGVaz,9,93,False,2
ensia96,389,597,False,2
Dezkrazzer,-193,71,False,2
veggiespam,0,0,False,2
AM-Ankitgit,1,1,True,2
dominicegginton,-265,145,True,2
Nugwxa,0,0,False,2
haseebjahangiraiwala,2,2,False,9
Henrique-nte,24,24,True,2
njsmithfm,36,36,False,2
Quinteroo,0,0,False,3
devasphn,15,15,False,4
ramong26,645,645,True,3
RajpurohitHitesh,46,46,False,2
Melke27,34,34,True,2
elvisperlika,164,164,False,2
savitharaghunathan,89,89,False,2
8680,0,0,False,2
hnsylzg,371,371,False,3
Vipul-Cariappa,-20,6,True,2
Manish-sikar,0,0,True,2
thomas-bc,49,71,False,2
roboquat,0,0,True,2
AbinavDWH,4,4,False,2
AMAYKJHA,255,277,False,2
JeversonDiasSilva,134,134,False,2
matiasdaloia,-661,131,False,2
tonnyBryan,228,228,False,3
MuizDebo,7,7,False,2
amalungo,18,18,False,2
abisheik07,0,0,False,3
miki-yuasa,111,111,True,2
reeeneeee,-429,23,False,2
ClassyBot,164,164,False,2
fthobe,7,7,True,2
DavidCodec,52,89,True,2
izumiano,170,193,False,2
georgeweigt,365,365,False,2
Ahmed-Attia-div,4,4,True,2
smartwalle,76,76,False,4
kalama-ai,46,46,False,2
akankshakusf,34,34,False,2
ryoh3y,0,0,False,2
Nxshe-116,0,0,False,2
damon-williams,0,0,True,2
jairuzamiscua,0,0,False,2
Rodrigo-Kelven,40,61,True,9
windybirth,53,53,False,2
Krizsry,60,60,False,2
KauaS4ntiago,4,4,False,2
julyfun,-39,170,False,3
nithishkumar86,40,40,False,3
mangsuyo,53,53,False,3
